com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :14
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :15
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :15
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :15
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :15
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :15
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :15
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :16
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :16
org.apache.ibatis.executor.statement.PreparedStatementHandler.instantiateStatement(ms) :16
org.apache.ibatis.executor.statement.BaseStatementHandler.prepare(ms) :16
org.apache.ibatis.executor.statement.RoutingStatementHandler.prepare(ms) :16
org.apache.ibatis.executor.SimpleExecutor.prepareStatement(ms) :16
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :35
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :35
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :35
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :35
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :35
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :35
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValuesForSimpleResultMap(ms) :3
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValues(ms) :4
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSet(ms) :4
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSets(ms) :4
org.apache.ibatis.executor.statement.PreparedStatementHandler.query(ms) :40
org.apache.ibatis.executor.statement.RoutingStatementHandler.query(ms) :40
org.apache.ibatis.executor.SimpleExecutor.doQuery(ms) :57
org.apache.ibatis.executor.BaseExecutor.queryFromDatabase(ms) :57
org.apache.ibatis.executor.BaseExecutor.query(ms) :57
org.apache.ibatis.executor.CachingExecutor.query(ms) :57
org.apache.ibatis.executor.CachingExecutor.query(ms) :57
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :57
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :57
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :57
org.mybatis.spring.SqlSessionTemplate.selectList(ms) :57
org.apache.ibatis.binding.MapperMethod.executeForMany(ms) :57
org.apache.ibatis.binding.MapperMethod.execute(ms) :57
