com.alibaba.druid.sql.ast.statement.SQLSelectItem.<init>(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.parseSelectItem(ms) :2
com.alibaba.druid.sql.parser.SQLSelectParser.parseSelectList(ms) :6
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :13
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :13
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :13
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :13
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :13
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :13
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :15
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :15
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :15
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :15
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :16
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :16
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :16
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :16
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :2
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.SQLUtils.format(ms) :2
com.alibaba.druid.filter.logging.LogFilter.logExecutableSql(ms) :3
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :3
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :11
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :11
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :11
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :11
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :11
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :11
com.alibaba.druid.filter.logging.Log4jFilter.resultSetLog(ms) :67
com.alibaba.druid.filter.logging.LogFilter.resultSetOpenAfter(ms) :68
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :68
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :68
com.alibaba.druid.filter.FilterAdapter.statement_getResultSet(ms) :68
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :68
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :68
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.getResultSet(ms) :68
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :68
com.alibaba.druid.filter.logging.Log4jFilter.resultSetLog(ms) :2
com.alibaba.druid.filter.logging.LogFilter.resultSet_next(ms) :3
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :3
com.alibaba.druid.filter.FilterAdapter.resultSet_next(ms) :3
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :3
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.next(ms) :3
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :3
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :119
org.mybatis.spring.SqlSessionTemplate.selectOne(ms) :119
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :3
com.alibaba.druid.filter.FilterAdapter.connection_prepareStatement(ms) :3
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :3
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :3
com.alibaba.druid.filter.FilterAdapter.connection_prepareStatement(ms) :3
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :5
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :5
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :5
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :5
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :4
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :4
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :4
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :4
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :4
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :4
com.alibaba.druid.filter.logging.Log4jFilter.resultSetLog(ms) :44
com.alibaba.druid.filter.logging.LogFilter.resultSet_next(ms) :45
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :45
com.alibaba.druid.filter.FilterAdapter.resultSet_next(ms) :45
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :45
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.next(ms) :45
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :45
com.alibaba.druid.filter.logging.Log4jFilter.statementLog(ms) :2
com.alibaba.druid.filter.logging.LogFilter.statement_close(ms) :2
com.alibaba.druid.filter.FilterChainImpl.statement_close(ms) :2
com.alibaba.druid.filter.stat.StatFilter.statement_close(ms) :2
com.alibaba.druid.filter.FilterChainImpl.statement_close(ms) :2
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.close(ms) :2
com.alibaba.druid.pool.DruidPooledStatement.close(ms) :2
com.alibaba.druid.pool.DruidPooledPreparedStatement.closeInternal(ms) :2
com.alibaba.druid.pool.DruidPooledConnection.closePoolableStatement(ms) :2
com.alibaba.druid.pool.DruidPooledPreparedStatement.close(ms) :2
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :79
org.mybatis.spring.SqlSessionTemplate.selectOne(ms) :79
org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(ms) :210
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :210
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :210
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :213
org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ms) :213
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :213
org.springframework.aop.framework.JdkDynamicAopProxy.invoke(ms) :213
com.alibaba.druid.sql.parser.SQLSelectParser.parseSelectList(ms) :5
com.alibaba.druid.sql.parser.Lexer.nextToken(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.accept(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.inRest(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.relationalRest(ms) :3
com.alibaba.druid.sql.dialect.mysql.parser.MySqlExprParser.relationalRest(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.relational(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.andRest(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.exprRest(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.expr(ms) :3
com.alibaba.druid.sql.parser.SQLSelectParser.expr(ms) :3
com.alibaba.druid.sql.parser.SQLSelectParser.parseWhere(ms) :3
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :10
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :10
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :10
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :10
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :10
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :10
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.printSelectList(ms) :2
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(ms) :2
